arg HH.Re HH.Im HV.Re HV.Im VH.Re VH.Im VV.Re VV.Im
69 -0.10839 0.071378 0.014839 -0.04065 -0.01484 0.04065 0.081336 -0.00285
70 -0.10431 0.08096 0.015368 -0.04273 -0.01537 0.042729 0.084127 -0.01185
71 -0.09468 0.093153 0.01182 -0.04778 -0.01182 0.047781 0.082085 -0.02468
72 -0.08231 0.104151 0.006994 -0.05227 -0.00699 0.052273 0.077683 -0.03768
73 -0.07454 0.108811 0.00135 -0.05565 -0.00135 0.055646 0.070679 -0.0503
74 -0.05737 0.116242 -0.0058 -0.05816 0.005802 0.058159 0.060873 -0.06195
75 -0.03805 0.12082 -0.01387 -0.05925 0.013872 0.05925 0.048277 -0.07195
76 -0.017 0.122017 -0.02259 -0.05868 0.022591 0.058683 0.033044 -0.07958
77 0.005207 0.119369 -0.03163 -0.05628 0.031625 0.056277 0.015505 -0.08415
78 0.028626 0.112557 -0.04301 -0.05208 0.04301 0.052075 -0.01165 -0.08555
79 0.050725 0.101152 -0.05108 -0.04538 0.051079 0.045382 -0.03231 -0.08098
80 0.071641 0.085287 -0.05814 -0.03687 0.058139 0.036871 -0.05297 -0.07167
81 0.090445 0.065068 -0.06378 -0.02673 0.063777 0.026729 -0.07261 -0.05755
82 0.106182 0.040818 -0.06761 -0.01523 0.067609 0.015227 -0.09019 -0.03878
83 0.117992 0.013053 -0.06995 -0.00228 0.069948 0.002281 -0.11176 -0.01105
84 0.124858 -0.01732 -0.06877 0.010615 0.06877 -0.01062 -0.12093 0.017121
85 0.126232 -0.04934 -0.0651 0.023424 0.065099 -0.02342 -0.12475 0.047649
86 0.121611 -0.08178 -0.05885 0.03558 0.058846 -0.03558 -0.12728 0.086491
87 0.110759 -0.11325 -0.05001 0.046193 0.050006 -0.04619 -0.11679 0.118787
88 0.093716 -0.14221 -0.03907 0.055066 0.039072 -0.05507 -0.09987 0.148598
89 0.0709 -0.16717 -0.02629 0.060826 0.026285 -0.06083 -0.07736 0.182819
90 0.04302 -0.18645 -0.01251 0.064444 0.012514 -0.06444 -0.04674 0.202618
